ID,Question,CanonicalID,MergeGroup,IsCanonical,HasAnswer,Category,ProposedCategory
Q0001,I'm new to Bangalore. How do I find a church?,Q0001,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0002,I work weekends sometimes. Can I still be part of a church?,Q0002,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0003,I'm an IT professional with an unpredictable schedule. How can I stay connected?,Q0002,work-schedule,No,Yes,General,
Q0004,I've recently moved to HSR Layout. How do I find a church community?,Q0001,find-church-bangalore,No,Yes,Finding & Visiting Church,
Q0005,Which church in Bangalore is good for international students?,Q0005,,Yes,Yes,Serving & Ministry,Serving & Ministry
Q0006,How do I find a Bible-believing church in Bangalore?,Q0053,bible-church-bangalore,No,Yes,Finding & Visiting Church,
Q0007,How do I know if a church is right for me?,Q0007,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0008,What should I look for in a church?,Q0007,church-right-fit,No,Yes,Finding & Visiting Church,
Q0009,How long should I attend before deciding to make it my church?,Q0100,how-long-decide,No,Yes,Finding & Visiting Church,
Q0010,How can I become part of the church community?,Q0010,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0011,What happens when I visit a church for the first time?,Q0011,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0012,"Can I just walk in, or do I need to register?",Q0012,,Yes,Yes,General,General
Q0013,What should I wear to church?,Q0013,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0014,Will someone ask me to introduce myself?,Q0089,visitor-no-spotlight,No,Yes,General,
Q0015,What if I don't know the songs or prayers?,Q0015,,Yes,Yes,Care & Hope,Care & Hope
Q0016,Can I visit a Christian church if I'm not a Christian?,Q0016,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
Q0017,Can people from any religion attend a church service?,Q0016,non-christian-welcome,No,Yes,Finding & Visiting Church,
Q0018,Will anyone try to convert me?,Q0018,,Yes,Yes,General,General
Q0019,Is it okay if I just want to observe?,Q0016,non-christian-welcome,No,Yes,Serving & Ministry,
Q0020,Can I ask questions about Christianity without feeling pressured?,Q0020,,Yes,Yes,Finding & Visiting Church,Finding & Visiting Church
